order,chunk_size,overlap,c,class_weight,min_char_count,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy
0,768,0,0.03,,20,0.8255924170616113,0.021279568076439482,0.7928373632238531,0.028346923956976855,0.7934137498699638,0.02206329062253254
1,768,0,0.03,balanced,20,0.885308056872038,0.012138624146792149,0.860700423961348,0.01013201940910102,0.8759785493144626,0.005460934764472256
2,768,0,0.1,,20,0.8369668246445497,0.01862263763449145,0.8115155575662165,0.02181333100120621,0.8076062386677159,0.01831511005557182
3,768,0,0.1,balanced,20,0.8862559241706162,0.013735902129089527,0.8615167257064424,0.01575563913223138,0.8757153914197258,0.012939651115327189
4,768,0,0.3,,20,0.837914691943128,0.0167962513238572,0.8137835841409478,0.01862366766303355,0.8097798545255422,0.015191444768039328
5,768,0,0.3,balanced,20,0.8834123222748815,0.0145614137400353,0.8600886602526321,0.016580373470875386,0.8749423549324036,0.010339206512799067
6,768,0,1.0,,20,0.8398104265402843,0.01652663106555705,0.8164350840665844,0.01913900332068079,0.81176208282356,0.015346313699126486
7,768,0,1.0,balanced,20,0.8843601895734597,0.01292718644264063,0.8614704050512423,0.014456684802568466,0.875994986511351,0.008306342814145678
8,768,0,3.0,,20,0.8379146919431278,0.0167962513238572,0.8116456091940071,0.01688931206546124,0.807902433700753,0.013812247886095162
9,768,0,3.0,balanced,20,0.8834123222748815,0.012212415854715759,0.8588848137398891,0.014510065462461494,0.8734511268622281,0.008229378599275408
10,768,384,0.03,,20,0.8350710900473933,0.02602754543648529,0.80103232071089,0.03177096435530603,0.8030488973898968,0.027049344149702555
11,768,384,0.03,balanced,20,0.8900473933649289,0.012138624146792135,0.8687612199280631,0.016419644178540103,0.8815698001688714,0.012666725881039783
12,768,384,0.1,,20,0.8398104265402845,0.019746603465402517,0.8089050429506675,0.02043182881043811,0.8088025672789051,0.018609022937972796
13,768,384,0.1,balanced,20,0.8853080568720377,0.010120453319460954,0.8611103677232883,0.015979146637359627,0.8755024673346211,0.013391336147248434
14,768,384,0.3,,20,0.8398104265402843,0.021489638007117798,0.8114761362110225,0.02156807942864463,0.8103746793773331,0.017521258649404108
15,768,384,0.3,balanced,20,0.8843601895734597,0.009758891128897629,0.859090155122173,0.014844326860697699,0.8743222440491347,0.013192640483321473
16,768,384,1.0,,20,0.8407582938388625,0.02001773657056196,0.8128526544296459,0.018937894143512657,0.8116904688510174,0.01522390310668828
17,768,384,1.0,balanced,20,0.8843601895734597,0.009758891128897629,0.8600499188726346,0.015866133028857657,0.8743222440491347,0.013192640483321473
18,768,384,3.0,,20,0.8398104265402843,0.02019646990773698,0.8115634490179051,0.018563349825929623,0.8103746793773331,0.01450314809412485
19,768,384,3.0,balanced,20,0.8853080568720377,0.008687347289015823,0.8607249425923932,0.013247333070057172,0.875638033522819,0.012598246569390625
20,1024,0,0.03,,20,0.8454976303317535,0.02427724829358424,0.8140658077376571,0.02427314284049278,0.8183598479264115,0.01700346661640454
21,1024,0,0.03,balanced,20,0.8862559241706162,0.017732973397032902,0.8655201659976433,0.020190187220944147,0.8814068115284392,0.013253931351545189
22,1024,0,0.1,,20,0.8549763033175356,0.022945437795090465,0.831777957432337,0.019676811074095052,0.8327355599337023,0.015591235659988453
23,1024,0,0.1,balanced,20,0.8900473933649289,0.015106518910435284,0.8695174020569377,0.018207137401283276,0.8844599801643145,0.012664649953817981
24,1024,0,0.3,,20,0.8597156398104266,0.0219447145076592,0.842153940846103,0.021405739693847136,0.8413273858187613,0.016685156232437232
25,1024,0,0.3,balanced,20,0.8919431279620852,0.015689995599286122,0.8710945232367668,0.019183178323500652,0.8858031107179715,0.01573985132963978
26,1024,0,1.0,,20,0.8606635071090049,0.023333713033348212,0.8425330993194416,0.02177395914974335,0.841805854718283,0.017186577885999886
27,1024,0,1.0,balanced,20,0.8919431279620852,0.015401020672295656,0.8722032193106759,0.0197652066134666,0.8868284012169461,0.017124842994914763
28,1024,0,3.0,,20,0.8625592417061612,0.02341059532744732,0.8465005938132519,0.021135173125544495,0.8448760301568793,0.017095458283018207
29,1024,0,3.0,balanced,20,0.8909952606635072,0.014987097915489949,0.8713757296119157,0.018743070652050744,0.8850740152520338,0.01519552078764479
30,1024,512,0.03,,20,0.8436018957345972,0.019655394647704,0.8096902543303456,0.020598107031951373,0.8160464073986852,0.01506127448410562
31,1024,512,0.03,balanced,20,0.8919431279620852,0.010972357253829603,0.8735714191571475,0.012813482336682634,0.8871512863518612,0.007652165579295937
32,1024,512,0.1,,20,0.8511848341232227,0.020896121028482106,0.8242779828771167,0.021899192981875478,0.8277905404586077,0.015980993518954677
33,1024,512,0.1,balanced,20,0.8938388625592417,0.009758891128897652,0.8727967019391754,0.01219902009636382,0.8865265101255814,0.007987259429733546
34,1024,512,0.3,,20,0.8549763033175356,0.021944714507659183,0.8307097340688265,0.02378533216305682,0.8340562046190086,0.018210037470086645
35,1024,512,0.3,balanced,20,0.8919431279620852,0.009666387703493451,0.8692647060803097,0.011988881419981699,0.8837194925817216,0.007226437016326391
36,1024,512,1.0,,20,0.8568720379146919,0.02127956807643947,0.8337123595949347,0.023436464749838154,0.8362093146668557,0.016815575083692216
37,1024,512,1.0,balanced,20,0.8890995260663507,0.011453124145587277,0.8671420159836455,0.015910307262665305,0.8810434843793977,0.009979928508785027
38,1024,512,3.0,,20,0.8568720379146919,0.021489638007117798,0.8319962978788731,0.024958766957497686,0.8344549287019433,0.018855298443419453
39,1024,512,3.0,balanced,20,0.8900473933649289,0.010120453319460982,0.868350248069316,0.014727954037038353,0.8823592738530819,0.008594562874086815
40,1280,0,0.03,,20,0.8606635071090049,0.017884324420960388,0.8298507352627966,0.018516614218094495,0.8336317940254251,0.009679362997766503
41,1280,0,0.03,balanced,20,0.8947867298578199,0.018330881142951377,0.8741147669267892,0.019429821665787148,0.890456871743913,0.014487315221324083
42,1280,0,0.1,,20,0.8691943127962085,0.017374694578031608,0.8422560477537996,0.013880853926351513,0.8452006783574673,0.01014941751041741
43,1280,0,0.1,balanced,20,0.8928909952606634,0.016580905862119324,0.8709037143442757,0.020205866718411725,0.8871275256514088,0.009804463796813729
44,1280,0,0.3,,20,0.8748815165876778,0.017114189654282276,0.8493352357237021,0.014385163094287844,0.8527651251888315,0.008856536260263937
45,1280,0,0.3,balanced,20,0.8909952606635072,0.016141598451115055,0.8666379149910673,0.018481546719726533,0.8823212730068104,0.010721200478532976
46,1280,0,1.0,,20,0.875829383886256,0.018330881142951387,0.8525580856887858,0.016011547823677016,0.8557954282191345,0.00881264766885691
47,1280,0,1.0,balanced,20,0.8900473933649289,0.017322906997627546,0.8654990973515165,0.019984415819892083,0.8816633782699682,0.011646186984783279
48,1280,0,3.0,,20,0.8767772511848342,0.022229458577362218,0.8522784851335435,0.021821128336550092,0.8549894359657738,0.014298863636163844
49,1280,0,3.0,balanced,20,0.8900473933649291,0.016252538577708295,0.8665247261688377,0.018357786791489313,0.8816763978318601,0.009270267640601609
50,1280,640,0.03,,20,0.8549763033175356,0.01886232108258992,0.8284554492837255,0.012560966486475405,0.833560918785377,0.0078906584617535
51,1280,640,0.03,balanced,20,0.8834123222748815,0.016580905862119324,0.8609838369415235,0.013734357665533086,0.8778105101689799,0.010777345243704812
52,1280,640,0.1,,20,0.8616113744075831,0.01881462866471964,0.8388804590616548,0.013469272372468344,0.8430123069961637,0.008209707322021434
53,1280,640,0.1,balanced,20,0.8881516587677725,0.012212415854715775,0.868927234021909,0.012475709666753784,0.8851032550181157,0.010800306524188515
54,1280,640,0.3,,20,0.8691943127962085,0.018379828843284644,0.8520931533067839,0.017044498531554216,0.8535483395910198,0.011604376301008478
55,1280,640,0.3,balanced,20,0.8881516587677725,0.011053937241412893,0.8668761360280627,0.011709490243925367,0.8827747063737776,0.007754753676501763
56,1280,640,1.0,,20,0.8672985781990521,0.01641754319970499,0.8505235657894706,0.013359924569916071,0.8523514078677724,0.010200057567845103
57,1280,640,1.0,balanced,20,0.886255924170616,0.010383366019055278,0.8661424981731404,0.012306827645440058,0.881339299675213,0.0072928240072912065
58,1280,640,3.0,,20,0.8663507109004739,0.018330881142951373,0.8492892348522535,0.017010905366077838,0.8511438435023132,0.012986258448453466
59,1280,640,3.0,balanced,20,0.8853080568720377,0.011762723835062432,0.8646387387746441,0.01382915717913025,0.8798355402767168,0.008318426776625316
